,level_0,Unnamed: 0,index,team_name,team_id,color,logo,team_location
131,131,131,138,MRSH,276,#00ae42,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,Marshall
132,132,132,139,ALB,399,#3D2777,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,UAlbany
133,133,133,141,ME,311,#127dbe,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png,Maine
134,134,134,142,ULM,2433,#231F20,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,UL Monroe
135,135,135,143,ARMY,349,#ce9c00,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,Army
136,136,136,145,AAMU,2010,#790000,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,Alabama A&M
137,137,137,146,CSU,36,#1e4d2b,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,Colorado State
138,138,138,147,WSU,265,#981e32,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,Washington State
139,139,139,148,BAY,239,#154734,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,Baylor
140,140,140,149,TXST,326,#4e1719,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,Texas State
141,141,141,150,HOU,248,#c92a39,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,Houston
142,142,142,151,UTSA,2636,#002A5C,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,UTSA
143,143,143,152,OKST,197,#ff6500,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,Oklahoma State
144,144,144,153,CARK,2110,#a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,Central Arkansas
145,145,145,154,MEM,235,#004991,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,Memphis
146,146,146,155,BCU,2065,#7b1831,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,Bethune-Cookman
147,147,147,156,USM,2572,#FFAA3C,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,Southern Miss
148,148,148,157,ALCN,2016,#4b0058,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,Alcorn State
149,149,149,158,TROY,2653,#AE0210,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,Troy
150,150,150,159,SFA,2617,#393996,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,Stephen F. Austin
151,151,151,160,ILL,356,#ff5f05,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,Illinois
152,152,152,161,TOL,2649,#0a2240,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,Toledo
153,153,153,162,VT,259,#630031,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,Virginia Tech
154,154,154,163,ODU,295,#00507d,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,Old Dominion
155,155,155,164,UL,309,#ce181e,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png,Louisiana
156,156,156,165,NWST,2466,#492F91,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,Northwestern State
157,157,157,166,WYO,2751,#492f24,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,Wyoming
158,158,158,167,TTU,2641,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,Texas Tech
159,159,159,169,WIU,2710,#4e1e8a,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,Western Illinois
160,160,160,171,UIW,2916,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,Incarnate Word
161,161,161,172,ARIZ,12,#0c234b,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,Arizona
162,162,162,173,NAU,2464,#003976,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,Northern Arizona
163,163,163,174,BYU,252,#003da5,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,BYU
164,164,164,175,SHSU,2534,#fe5000,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,Sam Houston
165,165,165,176,UCLA,26,#2774ae,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,UCLA
166,166,166,177,CCU,324,#007073,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,Coastal Carolina
167,167,167,179,IDST,304,#ef8c00,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png,Idaho State
168,168,168,180,FSU,52,#782f40,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,Florida State
169,169,169,181,LSU,99,#461d7c,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,LSU
170,170,170,183,ORST,204,#231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,Oregon State
171,171,171,184,RUTG,164,#d21034,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,Rutgers
172,172,172,185,NU,77,#582c83,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,Northwestern
173,173,173,186,DUKE,150,#013088,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,Duke
174,174,174,187,CLEM,228,#f56600,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,Clemson
175,175,175,189,MUR,93,#002148,https://a.espncdn.com/i/teamlogos/ncaa/500/93.png,Murray State
176,176,176,191,INST,282,#00669a,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,Indiana State
177,177,177,203,YSU,2754,#E51936,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,Youngstown State
178,178,178,207,DEL,48,#033594,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png,Delaware
179,179,179,211,APSU,2046,#8e0b0b,https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,Austin Peay
180,180,180,219,GRAM,2755,#ee8601,https://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,Grambling
181,181,181,223,UCD,302,#002855,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,UC Davis
182,182,182,233,LAF,322,#790000,https://a.espncdn.com/i/teamlogos/ncaa/500/322.png,Lafayette
183,183,183,239,CHSO,2127,#2e3192,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,Charleston Southern
184,184,184,243,DSU,2169,#FF3630,https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,Delaware State
185,185,185,247,HC,107,#0a0a0a,https://a.espncdn.com/i/teamlogos/ncaa/500/107.png,Holy Cross
186,186,186,253,UNH,160,#004990,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png,New Hampshire
187,187,187,255,EIU,2197,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,Eastern Illinois
188,188,188,263,RICH,257,#9e0712,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png,Richmond
189,189,189,273,WAG,2681,#00483A,https://a.espncdn.com/i/teamlogos/ncaa/500/2681.png,Wagner
190,190,190,275,SIU,79,#85283D,https://a.espncdn.com/i/teamlogos/ncaa/500/79.png,Southern Illinois
191,191,191,277,TXSO,2640,#860038,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,Texas Southern
192,192,192,283,CP,13,#1E4D2B,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png,Cal Poly
193,193,193,291,DUQ,2184,#002D62,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,Duquesne
194,194,194,299,MORG,2415,#014786,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,Morgan State
195,195,195,301,FOR,2230,#830032,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,Fordham
196,196,196,315,HCU,2277,#00539c,https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,Houston Christian
197,197,197,321,FAMU,50,#F89728,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png,Florida A&M
198,198,198,325,IDHO,70,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png,Idaho
199,199,199,327,MCN,2377,#00529C,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,McNeese
200,200,200,337,FUR,231,#582c83,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png,Furman
201,201,201,343,NICH,2447,#C41230,https://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,Nicholls
202,202,202,345,LAM,2320,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,Lamar
203,203,203,347,TNTC,2635,#5A4099,https://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,Tennessee Tech
204,204,204,351,EWU,331,#a10022,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png,Eastern Washington
205,205,205,389,WEB,2692,#18005a,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png,Weber State
206,206,206,409,UNCO,2458,#13558D,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,Northern Colorado
207,207,207,411,NCCU,2428,#880023,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,North Carolina Central
208,208,208,427,CCSU,2115,#1B49A2,https://a.espncdn.com/i/teamlogos/ncaa/500/2115.png,Central Connecticut
209,209,209,429,UND,155,#00A26B,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png,North Dakota
